observationID	cropCode	cropName	speciesID	countryCode	countryText	startYear	duration	longitude	latitude	collectionRemarks
2147365908	A059G	Maize	290307251	ES	Spain	2000	3	0.36	41.36	Farm scale study. Species or genus of most common predators determined, rest to family level. Only few species names in discussion.
2147365909	A059G	Maize	290307131	ES	Spain	2000	3	0.36	41.36	Farm scale study. Species or genus of most common predators determined, rest to family level. Only few species names in discussion.
2147365910	A059G	Maize	290307252	ES	Spain	2000	3	0.36	41.36	Farm scale study. Species or genus of most common predators determined, rest to family level. Only few species names in discussion.
2147365911	A059G	Maize	290307205	ES	Spain	2000	3	0.36	41.36	Farm scale study. Species or genus of most common predators determined, rest to family level. Only few species names in discussion.
2147365216	A059G	Maize	290307128	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365222	A059G	Maize	290307196	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365217	A059G	Maize	290307127	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147367290	A059G	Maize	290307197	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365225	A059G	Maize	290307199	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365218	A059G	Maize	290307160	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365219	A059G	Maize	290307181	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147365224	A059G	Maize	290307198	ES	Spain	2002	1	0.5701	41.7955	2 fields: isogenic and transgenic maize. Data pooled during data entry.
2147381839	A05AF	Wheat	290307128	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381838	A05AF	Wheat	290307160	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381844	A05AF	Wheat	290307618	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381842	A05AF	Wheat	290307197	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381841	A05AF	Wheat	290307196	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381843	A05AF	Wheat	290307198	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147381840	A05AF	Wheat	290307127	ES	Spain	2002	1	0.5701	41.7955	Plant removal, visual collection of mummies, and sweepnet. 1 field.
2147364997	A059G	Maize	290307009	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147365101	A059G	Maize	290307103	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147364978	A059G	Maize	290306990	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147365028	A059G	Maize	290307034	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147365124	A059G	Maize	290307124	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147364973	A059G	Maize	290306989	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147365089	A059G	Maize	290307090	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
2147365034	A059G	Maize	290307040	DE	Germany	2001	3	7.1	50.73	2 fields containing 3 treatments (isogenig, Bt, Bt & insecticides) & 8 replications
